,sample,id,x,y,area,area_convex,KM_label_nc20,star_KM_label_nc20
Tonsil_3_s0_a1_1416.0,Tonsil_3_s0_a1,1416.0,84.70492,856.0492,61.0,63.0,8,doublets
Tonsil_2_s0_a1_13036.0,Tonsil_2_s0_a1,13036.0,810.0,812.0,21.0,21.0,6,2
Tonsil_3_s0_a4_11307.0,Tonsil_3_s0_a4,11307.0,704.6316,848.8684,38.0,39.0,5,9
Tonsil_2_s0_a5_5074.0,Tonsil_2_s0_a5,5074.0,324.13043,982.4783,46.0,48.0,17,1
Tonsil_2_s0_a5_711.0,Tonsil_2_s0_a5,711.0,45.47959,955.37756,98.0,103.0,0,0
Tonsil_2_s0_a3_5190.0,Tonsil_2_s0_a3,5190.0,281.31033,115.10345,29.0,30.0,11,5
Tonsil_2_s0_a7_13324.0,Tonsil_2_s0_a7,13324.0,792.86487,385.4189,74.0,78.0,3,doublets
Tonsil_2_s0_a8_11963.0,Tonsil_2_s0_a8,11963.0,749.5,713.5,14.0,14.0,19,1
Tonsil_2_s0_a4_6600.0,Tonsil_2_s0_a4,6600.0,411.61728,256.25925,81.0,89.0,9,0
Tonsil_3_s0_a2_5728.0,Tonsil_3_s0_a2,5728.0,291.8095,381.42856,21.0,22.0,6,8
Tonsil_2_s0_a5_1582.0,Tonsil_2_s0_a5,1582.0,100.80645,906.3226,31.0,33.0,11,0
Tonsil_3_s0_a1_11141.0,Tonsil_3_s0_a1,11141.0,736.2766,590.5319,47.0,48.0,12,1
Tonsil_2_s0_a1_10534.0,Tonsil_2_s0_a1,10534.0,653.5,524.8182,44.0,45.0,17,2
Tonsil_2_s0_a1_9884.0,Tonsil_2_s0_a1,9884.0,615.79364,26.84127,63.0,66.0,8,14
Tonsil_2_s0_a6_14409.0,Tonsil_2_s0_a6,14409.0,840.3461,403.35577,104.0,111.0,0,7
Tonsil_3_s0_a3_1581.0,Tonsil_3_s0_a3,1581.0,89.32,473.12,25.0,28.0,15,11
Tonsil_2_s0_a5_10669.0,Tonsil_2_s0_a5,10669.0,685.18335,623.5833,60.0,69.0,8,6
Tonsil_3_s0_a4_11673.0,Tonsil_3_s0_a4,11673.0,728.9375,335.6875,16.0,17.0,19,19
Tonsil_3_s0_a3_947.0,Tonsil_3_s0_a3,947.0,53.612244,72.32653,49.0,53.0,12,5
Tonsil_2_s0_a3_2275.0,Tonsil_2_s0_a3,2275.0,128.53125,35.0625,64.0,67.0,8,14
Tonsil_2_s0_a2_14284.0,Tonsil_2_s0_a2,14284.0,976.35297,936.451,51.0,55.0,1,14
Tonsil_2_s0_a7_3072.0,Tonsil_2_s0_a7,3072.0,201.17105,621.8421,76.0,81.0,3,doublets
Tonsil_3_s0_a4_11556.0,Tonsil_3_s0_a4,11556.0,721.14703,262.94116,34.0,36.0,2,doublets
Tonsil_2_s0_a5_7444.0,Tonsil_2_s0_a5,7444.0,477.2361,801.4722,72.0,73.0,3,8
Tonsil_2_s0_a4_10991.0,Tonsil_2_s0_a4,10991.0,740.72095,225.7093,86.0,90.0,9,doublets
Tonsil_2_s0_a8_4253.0,Tonsil_2_s0_a8,4253.0,270.42554,97.276596,47.0,53.0,12,doublets
Tonsil_2_s0_a7_16322.0,Tonsil_2_s0_a7,16322.0,996.2941,54.882355,51.0,56.0,1,14
Tonsil_3_s0_a2_2499.0,Tonsil_3_s0_a2,2499.0,127.041664,868.5278,72.0,74.0,3,11
Tonsil_3_s0_a2_7567.0,Tonsil_3_s0_a2,7567.0,385.15872,401.38095,63.0,69.0,8,11
Tonsil_2_s0_a6_10479.0,Tonsil_2_s0_a6,10479.0,613.0,969.5,26.0,26.0,15,1
Tonsil_3_s0_a1_5569.0,Tonsil_3_s0_a1,5569.0,336.85184,982.7037,27.0,30.0,15,10
Tonsil_2_s0_a7_5775.0,Tonsil_2_s0_a7,5775.0,359.13635,830.5,44.0,47.0,17,17
Tonsil_2_s0_a5_2620.0,Tonsil_2_s0_a5,2620.0,168.2619,969.619,42.0,45.0,5,doublets
Tonsil_2_s0_a6_5301.0,Tonsil_2_s0_a6,5301.0,300.6129,155.80646,31.0,33.0,11,13
Tonsil_2_s0_a6_3453.0,Tonsil_2_s0_a6,3453.0,195.29033,664.75806,62.0,66.0,8,0
Tonsil_3_s0_a1_12991.0,Tonsil_3_s0_a1,12991.0,866.95,487.88333,60.0,66.0,8,1
Tonsil_3_s0_a1_7870.0,Tonsil_3_s0_a1,7870.0,501.0,781.7143,7.0,7.0,4,0
Tonsil_3_s0_a2_3253.0,Tonsil_3_s0_a2,3253.0,164.82927,8.414634,41.0,43.0,5,12
Tonsil_3_s0_a2_6596.0,Tonsil_3_s0_a2,6596.0,334.73914,345.23914,46.0,51.0,17,doublets
Tonsil_2_s0_a3_6198.0,Tonsil_2_s0_a3,6198.0,333.83334,860.5222,90.0,96.0,14,doublets
Tonsil_2_s0_a8_11756.0,Tonsil_2_s0_a8,11756.0,735.93335,45.853333,75.0,80.0,3,doublets
Tonsil_3_s0_a2_16820.0,Tonsil_3_s0_a2,16820.0,954.94934,183.51898,79.0,86.0,9,10
Tonsil_2_s0_a5_9009.0,Tonsil_2_s0_a5,9009.0,578.5082,976.4262,61.0,64.0,8,doublets
Tonsil_3_s0_a3_12127.0,Tonsil_3_s0_a3,12127.0,641.72974,968.9459,37.0,39.0,2,6
Tonsil_3_s0_a3_6537.0,Tonsil_3_s0_a3,6537.0,354.8,422.975,40.0,45.0,5,6
Tonsil_2_s0_a6_11353.0,Tonsil_2_s0_a6,11353.0,665.381,920.0476,21.0,22.0,6,9
Tonsil_3_s0_a4_10613.0,Tonsil_3_s0_a4,10613.0,662.3461,958.3461,26.0,26.0,15,13
Tonsil_3_s0_a3_14521.0,Tonsil_3_s0_a3,14521.0,772.25806,178.45161,62.0,64.0,8,2
Tonsil_3_s0_a3_2437.0,Tonsil_3_s0_a3,2437.0,137.57895,919.0105,95.0,100.0,14,10
Tonsil_3_s0_a4_6354.0,Tonsil_3_s0_a4,6354.0,421.3889,224.68518,54.0,58.0,1,13
Tonsil_2_s0_a6_12056.0,Tonsil_2_s0_a6,12056.0,706.5,70.95,20.0,23.0,6,1
Tonsil_2_s0_a5_2273.0,Tonsil_2_s0_a5,2273.0,145.96924,765.9077,65.0,69.0,8,2
Tonsil_3_s0_a1_14031.0,Tonsil_3_s0_a1,14031.0,949.0,993.8158,38.0,40.0,5,13
Tonsil_3_s0_a1_752.0,Tonsil_3_s0_a1,752.0,47.560974,593.09753,41.0,43.0,5,17
Tonsil_2_s0_a7_4901.0,Tonsil_2_s0_a7,4901.0,309.58823,227.11765,17.0,17.0,19,doublets
Tonsil_2_s0_a5_751.0,Tonsil_2_s0_a5,751.0,48.59155,390.11267,71.0,77.0,13,2
Tonsil_2_s0_a2_10876.0,Tonsil_2_s0_a2,10876.0,723.19446,107.19444,36.0,37.0,2,8
Tonsil_2_s0_a1_15145.0,Tonsil_2_s0_a1,15145.0,976.4375,613.4196,112.0,124.0,10,doublets
Tonsil_3_s0_a1_11335.0,Tonsil_3_s0_a1,11335.0,748.8125,970.75,64.0,66.0,8,doublets
Tonsil_3_s0_a4_3805.0,Tonsil_3_s0_a4,3805.0,264.06668,749.93335,30.0,31.0,11,6
Tonsil_2_s0_a7_2012.0,Tonsil_2_s0_a7,2012.0,137.8077,181.84616,26.0,29.0,15,doublets
Tonsil_2_s0_a5_1122.0,Tonsil_2_s0_a5,1122.0,71.80556,628.3611,36.0,38.0,2,2
Tonsil_3_s0_a3_12586.0,Tonsil_3_s0_a3,12586.0,667.91895,770.2973,37.0,39.0,2,14
Tonsil_3_s0_a3_12442.0,Tonsil_3_s0_a3,12442.0,659.6957,395.78262,46.0,48.0,17,6
Tonsil_2_s0_a7_3184.0,Tonsil_2_s0_a7,3184.0,207.72632,12.189474,95.0,101.0,14,10
Tonsil_2_s0_a1_7436.0,Tonsil_2_s0_a1,7436.0,475.63333,827.76666,30.0,33.0,11,2
Tonsil_3_s0_a1_1505.0,Tonsil_3_s0_a1,1505.0,90.26923,727.53845,52.0,53.0,1,16
Tonsil_2_s0_a5_12291.0,Tonsil_2_s0_a5,12291.0,788.8955,716.1642,67.0,72.0,13,6
Tonsil_2_s0_a3_6271.0,Tonsil_2_s0_a3,6271.0,337.67926,636.32074,53.0,55.0,1,doublets
Tonsil_2_s0_a7_4909.0,Tonsil_2_s0_a7,4909.0,310.0889,197.2889,45.0,46.0,17,12
Tonsil_3_s0_a3_6635.0,Tonsil_3_s0_a3,6635.0,360.25925,223.37038,27.0,29.0,15,12
Tonsil_3_s0_a2_486.0,Tonsil_3_s0_a2,486.0,24.21875,684.3281,64.0,69.0,8,2
Tonsil_3_s0_a2_4075.0,Tonsil_3_s0_a2,4075.0,205.61905,848.8095,42.0,44.0,5,14
Tonsil_2_s0_a5_7412.0,Tonsil_2_s0_a5,7412.0,474.71796,464.48718,39.0,39.0,5,14
Tonsil_3_s0_a1_839.0,Tonsil_3_s0_a1,839.0,52.553192,603.2766,47.0,50.0,12,17
Tonsil_2_s0_a2_677.0,Tonsil_2_s0_a2,677.0,59.596775,343.69354,62.0,71.0,8,10
Tonsil_2_s0_a1_9803.0,Tonsil_2_s0_a1,9803.0,611.5,262.0,28.0,28.0,11,5
Tonsil_3_s0_a2_4521.0,Tonsil_3_s0_a2,4521.0,227.76086,103.108696,46.0,52.0,17,11
Tonsil_2_s0_a3_13668.0,Tonsil_2_s0_a3,13668.0,759.4,618.6222,90.0,101.0,14,doublets
Tonsil_2_s0_a5_13323.0,Tonsil_2_s0_a5,13323.0,853.7368,237.78947,38.0,41.0,5,doublets
Tonsil_3_s0_a3_16306.0,Tonsil_3_s0_a3,16306.0,872.32434,384.14865,74.0,78.0,3,14
Tonsil_2_s0_a5_6549.0,Tonsil_2_s0_a5,6549.0,419.04123,213.18556,97.0,106.0,14,11
Tonsil_2_s0_a4_744.0,Tonsil_2_s0_a4,744.0,43.171875,409.35938,64.0,67.0,8,doublets
Tonsil_3_s0_a1_13484.0,Tonsil_3_s0_a1,13484.0,904.2459,620.918,61.0,69.0,8,1
Tonsil_2_s0_a1_3122.0,Tonsil_2_s0_a1,3122.0,215.4762,62.031746,63.0,65.0,8,5
Tonsil_2_s0_a3_7361.0,Tonsil_2_s0_a3,7361.0,398.5345,966.13794,58.0,59.0,16,1
Tonsil_2_s0_a8_7097.0,Tonsil_2_s0_a8,7097.0,444.6709,978.11395,79.0,82.0,9,4
Tonsil_3_s0_a3_1344.0,Tonsil_3_s0_a3,1344.0,76.4,141.8,5.0,5.0,4,2
Tonsil_2_s0_a5_14328.0,Tonsil_2_s0_a5,14328.0,918.64105,907.89746,39.0,40.0,5,3
Tonsil_2_s0_a3_1809.0,Tonsil_2_s0_a3,1809.0,103.54348,962.90216,92.0,95.0,14,0
Tonsil_2_s0_a3_8107.0,Tonsil_2_s0_a3,8107.0,439.7,657.06665,30.0,32.0,11,3
Tonsil_2_s0_a4_14720.0,Tonsil_2_s0_a4,14720.0,997.625,566.0,16.0,17.0,19,doublets
Tonsil_2_s0_a5_7916.0,Tonsil_2_s0_a5,7916.0,507.0909,374.15152,33.0,34.0,2,12
Tonsil_2_s0_a2_11810.0,Tonsil_2_s0_a2,11810.0,776.37384,685.48596,107.0,120.0,0,2
Tonsil_3_s0_a3_11750.0,Tonsil_3_s0_a3,11750.0,622.1667,232.95833,24.0,25.0,15,2
Tonsil_2_s0_a2_4467.0,Tonsil_2_s0_a2,4467.0,350.42426,864.0606,33.0,34.0,2,11
Tonsil_2_s0_a7_10429.0,Tonsil_2_s0_a7,10429.0,617.7917,810.4167,72.0,78.0,3,1
Tonsil_2_s0_a2_11449.0,Tonsil_2_s0_a2,11449.0,755.5102,58.94898,98.0,108.0,0,doublets
Tonsil_2_s0_a6_13761.0,Tonsil_2_s0_a6,13761.0,802.0984,808.1967,61.0,66.0,8,1
Tonsil_2_s0_a7_11518.0,Tonsil_2_s0_a7,11518.0,680.5211,210.87325,71.0,76.0,13,2
Tonsil_2_s0_a5_11310.0,Tonsil_2_s0_a5,11310.0,727.5,456.33334,48.0,52.0,12,6
Tonsil_2_s0_a4_305.0,Tonsil_2_s0_a4,305.0,16.214285,587.2857,14.0,17.0,19,13
Tonsil_2_s0_a4_14114.0,Tonsil_2_s0_a4,14114.0,959.84,813.5,50.0,52.0,12,13
Tonsil_2_s0_a7_9340.0,Tonsil_2_s0_a7,9340.0,558.4138,834.4483,29.0,32.0,11,16
Tonsil_2_s0_a1_10688.0,Tonsil_2_s0_a1,10688.0,662.78845,293.98077,52.0,57.0,1,14
Tonsil_2_s0_a2_3313.0,Tonsil_2_s0_a2,3313.0,273.875,78.333336,24.0,24.0,15,10
Tonsil_2_s0_a8_318.0,Tonsil_2_s0_a8,318.0,18.795918,104.0,49.0,53.0,12,5
Tonsil_3_s0_a2_1232.0,Tonsil_3_s0_a2,1232.0,62.387096,761.24194,62.0,70.0,8,doublets
Tonsil_3_s0_a3_8319.0,Tonsil_3_s0_a3,8319.0,447.57144,396.8095,21.0,22.0,6,14
Tonsil_2_s0_a6_2312.0,Tonsil_2_s0_a6,2312.0,132.90475,516.8095,21.0,22.0,6,19
Tonsil_2_s0_a2_12581.0,Tonsil_2_s0_a2,12581.0,823.4211,692.4561,57.0,62.0,16,14
Tonsil_3_s0_a1_13405.0,Tonsil_3_s0_a1,13405.0,897.5,728.5,12.0,12.0,19,15
Tonsil_2_s0_a7_15969.0,Tonsil_2_s0_a7,15969.0,972.9388,893.09186,98.0,105.0,0,doublets
Tonsil_3_s0_a1_6002.0,Tonsil_3_s0_a1,6002.0,366.725,745.225,80.0,87.0,9,0
Tonsil_3_s0_a3_9099.0,Tonsil_3_s0_a3,9099.0,486.77777,284.25,36.0,40.0,2,14
Tonsil_2_s0_a2_6327.0,Tonsil_2_s0_a2,6327.0,466.25,545.2727,44.0,47.0,17,11
Tonsil_3_s0_a4_14054.0,Tonsil_3_s0_a4,14054.0,912.45544,380.0,101.0,111.0,0,doublets
Tonsil_2_s0_a3_11325.0,Tonsil_2_s0_a3,11325.0,622.65625,93.4375,32.0,35.0,11,8
Tonsil_3_s0_a3_17941.0,Tonsil_3_s0_a3,17941.0,968.41907,450.05713,105.0,113.0,0,doublets
Tonsil_2_s0_a1_1213.0,Tonsil_2_s0_a1,1213.0,98.73913,405.86957,23.0,27.0,15,16
Tonsil_2_s0_a7_868.0,Tonsil_2_s0_a7,868.0,61.67347,617.4286,49.0,52.0,12,8
Tonsil_2_s0_a1_3077.0,Tonsil_2_s0_a1,3077.0,212.98305,707.5085,59.0,62.0,16,14
Tonsil_2_s0_a7_10933.0,Tonsil_2_s0_a7,10933.0,645.0476,456.38095,42.0,48.0,5,19
Tonsil_3_s0_a3_9282.0,Tonsil_3_s0_a3,9282.0,495.42554,393.95746,47.0,48.0,12,11
Tonsil_3_s0_a4_1665.0,Tonsil_3_s0_a4,1665.0,128.37737,615.9623,53.0,54.0,1,6
Tonsil_3_s0_a3_294.0,Tonsil_3_s0_a3,294.0,15.96,90.013336,75.0,79.0,3,12
Tonsil_3_s0_a4_9990.0,Tonsil_3_s0_a4,9990.0,627.2235,126.74117,85.0,87.0,9,13
Tonsil_2_s0_a5_112.0,Tonsil_2_s0_a5,112.0,6.3333335,287.10526,57.0,61.0,16,2
Tonsil_3_s0_a1_4941.0,Tonsil_3_s0_a1,4941.0,294.39474,632.3947,76.0,82.0,3,1
Tonsil_2_s0_a4_1418.0,Tonsil_2_s0_a4,1418.0,84.62745,113.78432,51.0,57.0,1,1
Tonsil_2_s0_a2_5367.0,Tonsil_2_s0_a2,5367.0,407.0,326.5,34.0,34.0,2,5
Tonsil_3_s0_a2_10512.0,Tonsil_3_s0_a2,10512.0,545.4783,258.78262,46.0,49.0,17,12
Tonsil_2_s0_a5_2782.0,Tonsil_2_s0_a5,2782.0,178.83333,917.35,60.0,65.0,8,0
Tonsil_2_s0_a5_12145.0,Tonsil_2_s0_a5,12145.0,780.3134,178.38806,67.0,75.0,13,doublets
Tonsil_2_s0_a1_4634.0,Tonsil_2_s0_a1,4634.0,307.8421,612.1579,19.0,19.0,6,14
Tonsil_2_s0_a8_7492.0,Tonsil_2_s0_a8,7492.0,468.625,76.84375,32.0,35.0,11,2
Tonsil_3_s0_a4_7511.0,Tonsil_3_s0_a4,7511.0,487.77142,787.4,35.0,37.0,2,doublets
Tonsil_2_s0_a4_13394.0,Tonsil_2_s0_a4,13394.0,912.6,201.93333,15.0,16.0,19,0
Tonsil_2_s0_a5_13400.0,Tonsil_2_s0_a5,13400.0,858.2558,746.2093,43.0,44.0,17,11
Tonsil_2_s0_a8_12047.0,Tonsil_2_s0_a8,12047.0,754.2321,476.3393,56.0,59.0,16,doublets
Tonsil_2_s0_a4_10876.0,Tonsil_2_s0_a4,10876.0,731.5806,425.4516,31.0,32.0,11,1
Tonsil_2_s0_a4_8379.0,Tonsil_2_s0_a4,8379.0,537.46155,187.65384,26.0,28.0,15,doublets
Tonsil_2_s0_a3_7802.0,Tonsil_2_s0_a3,7802.0,423.9434,259.32074,53.0,57.0,1,0
Tonsil_2_s0_a6_4386.0,Tonsil_2_s0_a6,4386.0,248.18182,981.3182,22.0,24.0,6,16
Tonsil_2_s0_a2_10792.0,Tonsil_2_s0_a2,10792.0,719.0294,577.7647,34.0,36.0,2,2
Tonsil_3_s0_a2_5329.0,Tonsil_3_s0_a2,5329.0,270.53488,949.3721,43.0,49.0,17,doublets
Tonsil_2_s0_a3_12061.0,Tonsil_2_s0_a3,12061.0,663.02704,2.162162,37.0,39.0,2,8
Tonsil_3_s0_a3_6259.0,Tonsil_3_s0_a3,6259.0,340.07693,261.30768,52.0,58.0,1,11
Tonsil_2_s0_a3_15982.0,Tonsil_2_s0_a3,15982.0,924.30475,922.98096,105.0,110.0,0,doublets
Tonsil_2_s0_a5_6682.0,Tonsil_2_s0_a5,6682.0,427.9091,837.9091,22.0,22.0,6,doublets
Tonsil_2_s0_a7_2381.0,Tonsil_2_s0_a7,2381.0,160.27777,979.1667,18.0,19.0,6,16
Tonsil_2_s0_a8_14352.0,Tonsil_2_s0_a8,14352.0,905.69354,197.93549,62.0,64.0,8,12
Tonsil_3_s0_a4_2211.0,Tonsil_3_s0_a4,2211.0,163.93478,971.413,46.0,49.0,17,6
Tonsil_2_s0_a6_7973.0,Tonsil_2_s0_a6,7973.0,459.17776,436.4222,45.0,48.0,17,1
Tonsil_2_s0_a6_7532.0,Tonsil_2_s0_a6,7532.0,431.46,340.04,50.0,53.0,12,19
Tonsil_2_s0_a4_12378.0,Tonsil_2_s0_a4,12378.0,840.87366,4.042105,95.0,100.0,14,doublets
Tonsil_2_s0_a1_2565.0,Tonsil_2_s0_a1,2565.0,183.19048,33.738094,84.0,91.0,9,7
Tonsil_3_s0_a1_5911.0,Tonsil_3_s0_a1,5911.0,360.2903,322.8387,31.0,34.0,11,3
Tonsil_3_s0_a1_12848.0,Tonsil_3_s0_a1,12848.0,856.0,288.34375,32.0,34.0,11,19
Tonsil_2_s0_a6_11591.0,Tonsil_2_s0_a6,11591.0,679.5373,418.68655,67.0,74.0,13,doublets
Tonsil_2_s0_a5_8054.0,Tonsil_2_s0_a5,8054.0,515.2222,889.1111,27.0,30.0,15,19
Tonsil_2_s0_a5_12244.0,Tonsil_2_s0_a5,12244.0,785.9677,528.74194,31.0,34.0,11,6
Tonsil_2_s0_a7_5912.0,Tonsil_2_s0_a7,5912.0,367.40298,365.46268,67.0,73.0,13,8
Tonsil_2_s0_a6_1816.0,Tonsil_2_s0_a6,1816.0,104.87755,664.0816,49.0,52.0,12,16
Tonsil_2_s0_a3_897.0,Tonsil_2_s0_a3,897.0,51.36232,831.61597,138.0,153.0,7,doublets
Tonsil_2_s0_a4_12570.0,Tonsil_2_s0_a4,12570.0,854.44446,810.5926,27.0,28.0,15,15
Tonsil_3_s0_a4_6054.0,Tonsil_3_s0_a4,6054.0,403.52542,509.67798,59.0,67.0,16,16
Tonsil_3_s0_a4_13080.0,Tonsil_3_s0_a4,13080.0,836.6,209.8,5.0,5.0,4,4
Tonsil_3_s0_a1_11280.0,Tonsil_3_s0_a1,11280.0,745.4074,688.8148,27.0,28.0,15,13
Tonsil_2_s0_a8_7636.0,Tonsil_2_s0_a8,7636.0,477.8421,651.8421,19.0,19.0,6,17
Tonsil_2_s0_a2_13944.0,Tonsil_2_s0_a2,13944.0,936.3611,662.8611,36.0,37.0,2,2
Tonsil_2_s0_a7_14861.0,Tonsil_2_s0_a7,14861.0,894.1967,334.7541,61.0,66.0,8,doublets
Tonsil_3_s0_a1_7086.0,Tonsil_3_s0_a1,7086.0,444.7541,711.73773,61.0,67.0,8,0
Tonsil_2_s0_a2_1653.0,Tonsil_2_s0_a2,1653.0,146.68,201.08,50.0,52.0,12,10
Tonsil_2_s0_a1_6234.0,Tonsil_2_s0_a1,6234.0,403.0,172.5,44.0,46.0,17,5
Tonsil_2_s0_a6_2224.0,Tonsil_2_s0_a6,2224.0,127.42623,301.16394,61.0,64.0,8,1
Tonsil_3_s0_a2_10709.0,Tonsil_3_s0_a2,10709.0,556.60254,353.78204,78.0,88.0,3,12
Tonsil_3_s0_a4_219.0,Tonsil_3_s0_a4,219.0,15.621212,919.51514,66.0,76.0,13,5
Tonsil_2_s0_a1_8595.0,Tonsil_2_s0_a1,8595.0,545.10254,58.179485,39.0,43.0,5,2
Tonsil_3_s0_a3_13185.0,Tonsil_3_s0_a3,13185.0,700.5,807.5,12.0,12.0,19,doublets
Tonsil_3_s0_a1_13708.0,Tonsil_3_s0_a1,13708.0,921.4286,70.89286,28.0,31.0,11,4
Tonsil_2_s0_a1_13846.0,Tonsil_2_s0_a1,13846.0,868.8571,558.6429,14.0,15.0,19,5
Tonsil_2_s0_a6_8162.0,Tonsil_2_s0_a6,8162.0,470.44116,634.33826,68.0,73.0,13,doublets
Tonsil_2_s0_a7_7200.0,Tonsil_2_s0_a7,7200.0,439.07318,643.2195,41.0,45.0,5,doublets
Tonsil_2_s0_a1_6959.0,Tonsil_2_s0_a1,6959.0,446.8611,681.55554,36.0,40.0,2,5
Tonsil_3_s0_a1_13981.0,Tonsil_3_s0_a1,13981.0,944.8,635.0,50.0,53.0,12,doublets
Tonsil_3_s0_a2_10.0,Tonsil_3_s0_a2,10.0,0.84615386,573.0,13.0,13.0,19,0
Tonsil_2_s0_a8_6786.0,Tonsil_2_s0_a8,6786.0,425.55933,449.30508,59.0,63.0,16,17
Tonsil_2_s0_a5_694.0,Tonsil_2_s0_a5,694.0,44.235294,914.53925,102.0,107.0,0,0
Tonsil_2_s0_a6_5615.0,Tonsil_2_s0_a6,5615.0,319.01785,916.2143,56.0,60.0,16,15
Tonsil_3_s0_a2_2230.0,Tonsil_3_s0_a2,2230.0,113.09804,16.37255,51.0,54.0,1,12
Tonsil_2_s0_a3_2714.0,Tonsil_2_s0_a3,2714.0,151.9,984.88184,110.0,119.0,10,0
Tonsil_2_s0_a7_14619.0,Tonsil_2_s0_a7,14619.0,877.3647,93.411766,85.0,93.0,9,doublets
Tonsil_2_s0_a2_5931.0,Tonsil_2_s0_a2,5931.0,441.92856,20.035715,28.0,30.0,11,10
Tonsil_2_s0_a3_12289.0,Tonsil_2_s0_a3,12289.0,676.13727,127.35294,51.0,55.0,1,8
Tonsil_3_s0_a4_7561.0,Tonsil_3_s0_a4,7561.0,489.83334,998.1667,12.0,13.0,19,5
Tonsil_2_s0_a8_6803.0,Tonsil_2_s0_a8,6803.0,427.39536,135.09302,43.0,48.0,17,12
Tonsil_2_s0_a2_5076.0,Tonsil_2_s0_a2,5076.0,389.14062,929.0,64.0,69.0,8,doublets
Tonsil_2_s0_a8_7542.0,Tonsil_2_s0_a8,7542.0,471.92105,94.052635,38.0,41.0,5,4
Tonsil_2_s0_a4_10269.0,Tonsil_2_s0_a4,10269.0,684.2222,262.58334,72.0,79.0,3,doublets
Tonsil_3_s0_a4_14554.0,Tonsil_3_s0_a4,14554.0,949.28125,416.71875,32.0,36.0,11,19
Tonsil_2_s0_a2_4031.0,Tonsil_2_s0_a2,4031.0,321.0,141.2,10.0,10.0,4,10
Tonsil_3_s0_a2_3200.0,Tonsil_3_s0_a2,3200.0,162.57143,71.333336,42.0,44.0,5,11
Tonsil_2_s0_a1_6045.0,Tonsil_2_s0_a1,6045.0,391.53622,582.46375,69.0,72.0,13,14
Tonsil_2_s0_a4_3178.0,Tonsil_2_s0_a4,3178.0,189.82927,890.85364,41.0,43.0,5,15
Tonsil_3_s0_a3_5692.0,Tonsil_3_s0_a3,5692.0,312.26923,278.65384,52.0,52.0,1,8
Tonsil_2_s0_a5_10438.0,Tonsil_2_s0_a5,10438.0,671.34,488.36,50.0,55.0,12,14
Tonsil_3_s0_a2_2091.0,Tonsil_3_s0_a2,2091.0,106.052635,590.0,19.0,22.0,6,doublets
Tonsil_2_s0_a3_14587.0,Tonsil_2_s0_a3,14587.0,819.4286,378.57144,28.0,31.0,11,14
Tonsil_3_s0_a3_178.0,Tonsil_3_s0_a3,178.0,9.513889,195.48611,72.0,78.0,3,11
Tonsil_2_s0_a1_6869.0,Tonsil_2_s0_a1,6869.0,441.27777,829.8889,18.0,19.0,6,3
Tonsil_2_s0_a4_8605.0,Tonsil_2_s0_a4,8605.0,554.96875,145.08333,96.0,101.0,14,0
Tonsil_2_s0_a8_1229.0,Tonsil_2_s0_a8,1229.0,75.03529,974.82355,85.0,90.0,9,doublets
Tonsil_2_s0_a5_6094.0,Tonsil_2_s0_a5,6094.0,389.1746,666.98413,63.0,68.0,8,14
Tonsil_3_s0_a3_187.0,Tonsil_3_s0_a3,187.0,9.457831,882.7108,83.0,91.0,9,10
Tonsil_2_s0_a2_5829.0,Tonsil_2_s0_a2,5829.0,438.58823,10.882353,68.0,77.0,13,10
Tonsil_3_s0_a3_11114.0,Tonsil_3_s0_a3,11114.0,590.31946,381.20834,72.0,78.0,3,11
Tonsil_2_s0_a1_4377.0,Tonsil_2_s0_a1,4377.0,292.8158,782.1447,76.0,81.0,3,3
Tonsil_2_s0_a7_1398.0,Tonsil_2_s0_a7,1398.0,97.17949,278.23077,39.0,42.0,5,12
Tonsil_2_s0_a2_4813.0,Tonsil_2_s0_a2,4813.0,374.45456,828.8182,22.0,24.0,6,8
Tonsil_2_s0_a6_5580.0,Tonsil_2_s0_a6,5580.0,316.7,353.98,50.0,53.0,12,3
Tonsil_3_s0_a1_408.0,Tonsil_3_s0_a1,408.0,26.772728,214.81818,22.0,24.0,6,9
Tonsil_3_s0_a3_2269.0,Tonsil_3_s0_a3,2269.0,128.55814,14.674418,43.0,46.0,17,2
Tonsil_2_s0_a6_4497.0,Tonsil_2_s0_a6,4497.0,255.29411,871.5098,51.0,53.0,1,17
Tonsil_3_s0_a1_9873.0,Tonsil_3_s0_a1,9873.0,650.82855,747.82855,35.0,38.0,2,15
Tonsil_1_s0_a4_18.0,Tonsil_1_s0_a4,18.0,13.078947,25.552631,38.0,42.0,5,4
Tonsil_2_s0_a7_8524.0,Tonsil_2_s0_a7,8524.0,513.8514,74.60811,74.0,80.0,3,doublets
Tonsil_2_s0_a8_12571.0,Tonsil_2_s0_a8,12571.0,788.4286,679.8095,42.0,47.0,5,16
Tonsil_3_s0_a4_12917.0,Tonsil_3_s0_a4,12917.0,823.2692,899.21155,52.0,59.0,1,doublets
Tonsil_2_s0_a8_3245.0,Tonsil_2_s0_a8,3245.0,205.32204,643.4237,59.0,64.0,16,doublets
Tonsil_2_s0_a8_14723.0,Tonsil_2_s0_a8,14723.0,930.5,548.7273,22.0,22.0,6,doublets
Tonsil_2_s0_a2_2918.0,Tonsil_2_s0_a2,2918.0,245.72858,123.48572,70.0,75.0,13,10
Tonsil_2_s0_a3_395.0,Tonsil_2_s0_a3,395.0,23.52381,376.57144,84.0,91.0,9,15
