,sample,id,x,y,area,area_convex,KM_label_nc20,star_KM_label_nc20
Tonsil_2_s0_a4_5367.0,Tonsil_2_s0_a4,5367.0,327.03333,548.4,30.0,32.0,11,17
Tonsil_3_s0_a4_2245.0,Tonsil_3_s0_a4,2245.0,165.82692,959.9231,52.0,57.0,1,6
Tonsil_2_s0_a1_13490.0,Tonsil_2_s0_a1,13490.0,842.44,556.88,25.0,25.0,15,5
Tonsil_2_s0_a8_13937.0,Tonsil_2_s0_a8,13937.0,880.6316,173.19298,57.0,60.0,16,doublets
Tonsil_2_s0_a1_8021.0,Tonsil_2_s0_a1,8021.0,512.36365,465.25757,66.0,72.0,13,doublets
Tonsil_3_s0_a1_1024.0,Tonsil_3_s0_a1,1024.0,62.953846,348.12308,65.0,70.0,8,17
Tonsil_3_s0_a4_2998.0,Tonsil_3_s0_a4,2998.0,212.4342,809.4342,76.0,82.0,3,6
Tonsil_2_s0_a2_60.0,Tonsil_2_s0_a2,60.0,4.4444447,758.2222,45.0,48.0,17,13
Tonsil_2_s0_a4_11037.0,Tonsil_2_s0_a4,11037.0,743.64703,127.44118,34.0,38.0,2,7
Tonsil_3_s0_a2_5051.0,Tonsil_3_s0_a2,5051.0,255.5625,665.40625,64.0,68.0,8,doublets
Tonsil_2_s0_a5_9655.0,Tonsil_2_s0_a5,9655.0,620.5,799.875,24.0,25.0,15,5
Tonsil_3_s0_a4_8833.0,Tonsil_3_s0_a4,8833.0,562.7213,25.934425,61.0,66.0,8,15
Tonsil_3_s0_a1_3579.0,Tonsil_3_s0_a1,3579.0,210.08928,398.92856,56.0,61.0,16,3
Tonsil_3_s0_a3_4396.0,Tonsil_3_s0_a3,4396.0,243.78334,478.03333,60.0,63.0,8,2
Tonsil_2_s0_a3_6044.0,Tonsil_2_s0_a3,6044.0,325.70834,742.7083,24.0,25.0,15,1
Tonsil_2_s0_a3_13851.0,Tonsil_2_s0_a3,13851.0,771.8,843.24,25.0,25.0,15,15
Tonsil_2_s0_a8_12720.0,Tonsil_2_s0_a8,12720.0,799.85297,597.4706,34.0,36.0,2,1
Tonsil_2_s0_a3_13111.0,Tonsil_2_s0_a3,13111.0,726.10974,49.30488,82.0,87.0,9,17
Tonsil_2_s0_a6_2734.0,Tonsil_2_s0_a6,2734.0,155.39024,35.92683,41.0,44.0,5,14
Tonsil_2_s0_a5_1843.0,Tonsil_2_s0_a5,1843.0,117.5,699.9697,66.0,73.0,13,2
Tonsil_2_s0_a8_12177.0,Tonsil_2_s0_a8,12177.0,762.51514,793.9394,33.0,35.0,2,doublets
Tonsil_2_s0_a6_2266.0,Tonsil_2_s0_a6,2266.0,129.57895,775.193,57.0,61.0,16,17
Tonsil_3_s0_a1_11746.0,Tonsil_3_s0_a1,11746.0,777.2683,367.36584,41.0,44.0,5,16
Tonsil_2_s0_a4_2066.0,Tonsil_2_s0_a4,2066.0,124.208336,689.6875,48.0,52.0,12,17
Tonsil_2_s0_a5_3406.0,Tonsil_2_s0_a5,3406.0,218.46939,285.4898,49.0,52.0,12,14
Tonsil_3_s0_a2_1920.0,Tonsil_3_s0_a2,1920.0,96.68421,207.8421,38.0,39.0,5,12
Tonsil_2_s0_a5_6706.0,Tonsil_2_s0_a5,6706.0,429.06494,585.1948,77.0,80.0,3,3
Tonsil_2_s0_a5_10493.0,Tonsil_2_s0_a5,10493.0,674.7174,160.57608,92.0,105.0,14,5
Tonsil_2_s0_a5_11327.0,Tonsil_2_s0_a5,11327.0,728.82355,584.7647,34.0,35.0,2,12
Tonsil_3_s0_a2_16476.0,Tonsil_3_s0_a2,16476.0,917.62067,450.06897,29.0,30.0,11,10
Tonsil_3_s0_a2_13017.0,Tonsil_3_s0_a2,13017.0,691.09375,137.90625,32.0,34.0,11,4
Tonsil_2_s0_a6_12972.0,Tonsil_2_s0_a6,12972.0,757.9762,228.09525,42.0,43.0,5,17
Tonsil_2_s0_a8_6080.0,Tonsil_2_s0_a8,6080.0,380.89474,191.52632,38.0,42.0,5,5
Tonsil_2_s0_a5_4354.0,Tonsil_2_s0_a5,4354.0,279.30768,562.0128,78.0,83.0,3,doublets
Tonsil_3_s0_a2_15580.0,Tonsil_3_s0_a2,15580.0,846.5,520.5,14.0,14.0,19,4
Tonsil_3_s0_a1_6236.0,Tonsil_3_s0_a1,6236.0,383.30527,146.98947,95.0,99.0,14,16
Tonsil_2_s0_a3_6161.0,Tonsil_2_s0_a3,6161.0,331.75,633.0,24.0,27.0,15,doublets
Tonsil_3_s0_a1_7315.0,Tonsil_3_s0_a1,7315.0,461.01785,417.26785,56.0,57.0,16,1
Tonsil_2_s0_a7_11415.0,Tonsil_2_s0_a7,11415.0,673.8644,504.71185,59.0,63.0,16,19
Tonsil_2_s0_a2_1577.0,Tonsil_2_s0_a2,1577.0,140.01888,916.39624,53.0,58.0,1,19
Tonsil_2_s0_a7_6353.0,Tonsil_2_s0_a7,6353.0,394.05,137.725,40.0,46.0,5,doublets
Tonsil_2_s0_a8_10840.0,Tonsil_2_s0_a8,10840.0,678.2653,134.12245,49.0,53.0,12,5
Tonsil_2_s0_a3_5918.0,Tonsil_2_s0_a3,5918.0,318.59573,734.4894,47.0,51.0,12,1
Tonsil_2_s0_a3_10193.0,Tonsil_2_s0_a3,10193.0,556.85333,890.94666,75.0,77.0,3,doublets
Tonsil_2_s0_a8_5355.0,Tonsil_2_s0_a8,5355.0,336.57446,750.1702,47.0,48.0,12,1
Tonsil_2_s0_a4_9333.0,Tonsil_2_s0_a4,9333.0,610.8732,678.08453,71.0,77.0,13,9
Tonsil_3_s0_a3_6933.0,Tonsil_3_s0_a3,6933.0,376.26086,92.347824,23.0,26.0,15,11
Tonsil_2_s0_a6_13652.0,Tonsil_2_s0_a6,13652.0,795.71155,747.86536,52.0,56.0,1,1
